Tender,Company,Procurement,Notice,Location,Closing,Value,Date
UCLH-4376 - Catering Provision @ 250 Euston Road,University College London Hospitals NHS Foundation Trust,  Opportunity,  Open,  United Kingdom,"  21 June 2024, 12pm","  £225,000",  29 April 2024
CSI/PH BNSSG Integrated Sexual Health Service,Bristol City Council,  Opportunity,  Open,  England,"  24 June 2024, 12pm","  £64,625,880","  29 April 2024, last edited 29 April 2024"
GSP1314 Supply Leather Hides for the House of Commons Benches,House of Commons,  Opportunity,  Open,  SW1A 0AA,"  29 May 2024, 12pm","  £150,000",  29 April 2024
Pest Control Services,Mhs Homes Group,  Opportunity,  Open,  South East,"  31 May 2024, 12pm","  £180,000 to £300,000",  29 April 2024
Wolverley CE Secondary School Re-roofing Phase 2,Wolverley CE Secondary School,  Opportunity,  Open,  West Midlands,"  24 May 2024, 12pm","  £350,000",  29 April 2024
Abbey Park School Re-roofing,Abbey Park School,  Opportunity,  Open,  West Midlands,"  24 May 2024, 12pm","  £400,000",  29 April 2024
"Refurbishment of basement at Pierremont Hall, Broadstairs, Kent",Broadstairs & St. Peter's Town Council,  Opportunity,  Open,  CT10 1JX,"   4 June 2024, 12pm","  £90,000",  29 April 2024
Tower Bridge Fire Suppression Works,City of London Corporation,  Opportunity,  Open,  London,"  10 June 2024, 12pm","  £6,500,000",  29 April 2024
COV - Godiva Festival - Godiva Merchandise Supplier,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  13 May 2024, 12pm","  £0 to £60,000",  29 April 2024
GB-Kings Lynn: HMO Adaptation works,Freebridge Community Housing Limited,  Opportunity,  Open,  East of England,"  20 May 2024, 12pm","  £25,000 to £50,000",  29 April 2024
"2251 Tender for P1425 Queens Building Re-roofing and associated works,  De Montfort University, Leicester.",De Montfort University,  Opportunity,  Open,  LE1 9BH,"  22 May 2024,  5pm","  £220,000 to £225,000","  29 April 2024, last edited 29 April 2024"
Service Entry Medical Provision for RAF,Ministry of Defence,  Opportunity,  Open,  HP14 4UE,"  29 May 2024, 12pm","  £6,800,000 to £9,600,000",  29 April 2024
"Bowgie Inn, Crantock Newquay Cornwall, Electric Van",BOWGIE INN LIMITED,  Opportunity,  Open,  South West,"   8 May 2024,  5pm","  £35,000 to £45,000","  15 April 2024, last edited 29 April 2024"
RA341340 - Blom-Singer Voice Prosthesis,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"  10 May 2024,  5pm",  £0,  29 April 2024
Pre-qualification of Suppliers to Provide Different Categories of Goods and Services for National Scale-up,MOTT MACDONALD LIMITED,  Opportunity,  Open,  Malawi,"  12 May 2024,  1am","  £3,000 to £180,000",  29 April 2024
"Prior Information Notice - Design, Supply & Installation Solar Photovoltaic (PV) Panel Systems & Associated Equipment",Portsmouth City Council,  Opportunity,  Open,  PO1 2BJ,"   3 June 2024,  4pm","  £10,000 to £5,000,000",  29 April 2024
Damp Proof Courses,West Lancashire Borough Council,  Early engagement,  Open,  England,  29 July 2024,Publication date 29 April 2024,None
Withinfields Primary School - Phase 2 - SEN Refurbishment Works,The Borough Council of Calderdale,  Opportunity,  Open,  Yorkshire and the Humber,"  24 May 2024, 12pm","  £130,000",  29 April 2024
CA13957 - Kirklees College - External Cleaning,Kirklees College,  Opportunity,  Open,  HD1 5NN,"  24 June 2024,  1pm",  £0,"  29 April 2024, last edited 29 April 2024"
NHS South Yorkshire ICB  -Safe Space (Learning Disability / Autism) Service,NHS South Yorkshire Integrated Care Board,  Opportunity,  Open,  S1 3FG,"  31 May 2024, 12pm","  £0 to £3,100,000",  29 April 2024
ACCESS Private Equity Investment Allocators,Hampshire County Council,  Opportunity,  Open,  SO23 8UJ,"  24 May 2024,  2pm","  £2,000,000,000","  22 April 2024, last edited 29 April 2024"
Business Rates Review,"Police, Fire and Crime Commissioner for Northamptonshire",  Opportunity,  Open,  NN8 6GS,"   3 June 2024,  1pm","  £0 to £100,000",  29 April 2024
Cleaning Services at LiveWest Main Offices,LiveWest Homes Limited,  Opportunity,  Open,  England,"  29 May 2024,  4pm","  £300,000 to £1,000,000",  29 April 2024
CA14004 - Middlesbrough College - Electric Utility Vehicle,Middlesbrough College,  Opportunity,  Open,  TS2 1AD,"  13 May 2024, 12pm",  £0,  29 April 2024
GB-London: PE0589 - Peabody Biodiversity Action Plan,Peabody Trust,  Opportunity,  Open,  London,"  13 May 2024,  4pm","  £25,000 to £50,000","  23 April 2024, last edited 29 April 2024"
Pendennis Shipyard Falmouth Solar Panel System,PENDENNIS SHIPYARD LIMITED,  Opportunity,  Open,  South West,"  15 May 2024,  5pm","  £750,000 to £825,000","  15 April 2024, last edited 29 April 2024"
Public Convenience Cleaning,Winchester City Council,  Early engagement,  Open,  South East,  14 May 2024,Publication date 29 April 2024,None
Temple Herdewyke Village Hall - New Build,Burton Dassett Parish Council,  Early engagement,  Open,  CV47 2PB,  31 July 2024,Publication date 29 April 2024,None
Vestry House Museum Decant,London Borough of Waltham Forest,  Opportunity,  Open,  England,"  15 May 2024,  5pm","  £50,000 to £75,000",  29 April 2024
Procurement of a Water Resource Management Plan Consultancy,Saint Helena Government,  Opportunity,  Open,"  Saint Helena, Ascension and Tristan da Cunha","  10 June 2024,  1pm",  £0,  29 April 2024
Framework for the Supply only of Highways Materials,Westmorland and Furness Council,  Opportunity,  Open,  England,"  29 May 2024,  2pm","  £8,000,000",  29 April 2024
Procurement of a Sustainable Travel Strategy by Lancaster City Council to inform the Development Strategy for the Lancaster District Local Plan Review,Lancaster City Council,  Opportunity,  Open,  North West,"  27 May 2024, 12pm",  £1,  29 April 2024
Wigan Council - Simple Major Adaptations Framework 2024 - 2028,Wigan Council,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £7,500,000",  29 April 2024
West Berkshire Vegetation Clearances,West Berkshire Council,  Opportunity,  Open,  RG14 5LD,"  27 May 2024, 12pm","  £0 to £24,000",  29 April 2024
OS Maps App Research,Ordnance Survey,  Opportunity,  Open,  SO16 0AS,"  13 May 2024, 12pm",  £0,  29 April 2024
Audit Management System,"Cumbria, Northumberland Tyne and Wear NHS Foundation Trust",  Opportunity,  Open,  NE3 3XT,"  30 May 2024, 12pm","  £25,000",  29 April 2024
Tax advisory and compliance services,University of Cumbria,  Opportunity,  Open,  CA1 2HH,"  29 May 2024, 12pm",  £0,  29 April 2024
P5871 Cleaning and Associated Services,Tower Hamlets,  Opportunity,  Open,  England,"  30 May 2024, 12pm",  £0,  29 April 2024
Maxwell 9th Floor Asbestos Removal,UNIVERSITY OF SALFORD(THE),  Opportunity,  Open,  M5 4WT,"  16 May 2024, 12pm","  £450,000",  29 April 2024
Invitation to Tender for SH1053 Boiler Planned Preventative Maintenance and Reactive Call Services,Southern Health NHS Foundation Trust,  Opportunity,  Open,  South East,"   4 June 2024, 12pm","  £100,000",  29 April 2024
Community Roots Cornwall CIC,Community Roots Cornwall,  Opportunity,  Open,  TR4 8FN,"  22 May 2024,  5pm","  £300,000","  26 April 2024, last edited 29 April 2024"
Learning Management System,BlueLight Commercial,  Opportunity,  Open,  BD11 2DY,"  29 May 2024, 12pm","  £200,000 to £250,000",  29 April 2024
Tender for the Provision of Leisure Management Operating System,Halton Borough Council,  Opportunity,  Open,  England,"   3 June 2024, 10am","  £120,000",  29 April 2024
Croydon College -Internal Refurbishment Works,Croydon College,  Opportunity,  Open,  CR9 1DX,"  20 May 2024,  5pm","  £390,000 to £420,000","  17 April 2024, last edited 29 April 2024"
DFT - Train The Trainer,DfTc - Department for Transport,  Opportunity,  Open,  SW1P 2AA,"  24 May 2024, 11am",  £0,"  29 April 2024, last edited 29 April 2024"
Woking High School Academy Trust,Woking High School Academy Trust,  Opportunity,  Open,  South East,"   7 June 2024, 12pm","  £600,000",  29 April 2024
Loreto College St Albans ~ Cleaning Tender,Loreto College St Albans,  Opportunity,  Open,  East of England,"  17 May 2024, 12pm","  £550,000",  29 April 2024
Consultant Services for Royal Victoria Place (RVP) Car Park Repairs and Refurbishment,Tunbridge Wells Borough Council,  Opportunity,  Open,  England,"  17 May 2024, 12pm",  £0,  29 April 2024
Digital Development & Implementation Resourcing,Cornwall Council,  Early engagement,  Open,  England,  20 May 2024,Publication date 29 April 2024,None
Next Generation Countermeasure - 704824450 - Contract Notice,Ministry of Defence,  Opportunity,  Open,  Any region,"  10 June 2024,  5pm","  £35,000,000",  29 April 2024
UPS (Un-interrupted Power Supply) for the North West Ambulance Service,North West Ambulance Service NHS Trust,  Opportunity,  Open,  North West,"  14 May 2024,  5pm",  £0,  29 April 2024
GB-London: 002400 - Get Ready for Business Growth - Phase 1 Evaluation,The British Library,  Opportunity,  Open,  Any region,"  27 May 2024, 12pm","  £10,000 to £25,000",  29 April 2024
Glovers Walk Demolition,Somerset Council,  Opportunity,  Open,  England,"  24 May 2024, 12pm","  £1,000,000","  19 April 2024, last edited 29 April 2024"
Property maintenance services for British Embassy Sofia,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  29 May 2024, 11:59pm",  £0,  29 April 2024
Extra Care Services for West Northamptonshire - market information,West Northamptonshire Council,  Future opportunity,  Open,  East Midlands,Approach to market date 29 April 2024,"  £11,000,000",  29 April 2024
L24048-T-SG - Civils works and maintenance Framework contract,London Luton Airport,  Opportunity,  Open,  LU2 9LY,"  12 June 2024, 12pm","  £8,000,000 to £10,000,000","  25 April 2024, last edited 29 April 2024"
"CPU 6168 Bus Shelter & Free-Standing Unit supply, maintenance, and advertising",Nottingham City Council,  Opportunity,  Open,  East Midlands,"  31 May 2024, 12pm",  £0,"  29 April 2024, last edited 29 April 2024"
WFD Procurement Sri Lanka Call for Experts ITT,THE WESTMINSTER FOUNDATION FOR DEMOCRACY LIMITED,  Opportunity,  Open,  Rest of the World,"  12 May 2024, 11:59pm","  £15,000",  29 April 2024
"CEFAS24-06 Request for Quotation for the provision to provide subtidal Sabellaria spp. monitoring surveys using an Adaptive Resolution Imaging Sonar (ARIS) camera at Sizewell, Suffolk UK",Cefas,  Opportunity,  Open,"  East of England, Any region","  13 May 2024, 12pm","  £25,000 to £30,000","  22 April 2024, last edited 29 April 2024"
